phrase,abbr,count
medial temporal lobe,MTL,22
mast cells,MCs,22
hepatic stellate cells,HSC,22
glutamate receptor,mGluR,22
estrogen receptors,ER,22
conditioned place preference,CPP,22
cancer stem cells,CSC,22
atopic dermatitis,AD,22
Bone Morphogenetic Protein,BMP,22
Bardet Biedl syndrome,BBS,22
von Willebrand factor,VWF,21
triple negative breast cancer,TNBC,21
thymidylate synthase,TS,21
systemic inflammatory response syndrome,SIRS,21
substantia nigra,SN,21
site directed spin labeling,SDSL,21
retinopathy of prematurity,ROP,21
retinoid X receptor,RXR,21
retinal pigment epithelial,RPE,21
peripheral blood mononuclear cells,PBMC,21
pathogen associated molecular patterns,PAMPs,21
nuclear receptor,NR,21
non Hodgkin lymphoma,NHL,21
nitric oxide synthase,nNOS,21
natural language processing,NLP,21
myosin light chain,MLC,21
myosin heavy chain,MHC,21
fluorescence recovery after photobleaching,FRAP,21
fibroblast growth factor,bFGF,21
feline immunodeficiency virus,FIV,21
familial hypertrophic cardiomyopathy,FHC,21
electronic health record,EHR,21
dominant negative,DN,21
cyclin dependent kinase,CDK,21
copy number variation,CNV,21
continuous positive airway pressure,CPAP,21
calorie restriction,CR,21
autism spectrum disorders,ASDs,21
androgen deprivation therapy,ADT,21
Specific Language Impairment,SLI,21
Langerhans cells,LC,21
Cardiovascular Health Study,CHS,21
African Americans,AAs,21
transcription coupled repair,TCR,20
substance use disorders,SUDs,20
selective serotonin reuptake inhibitors,SSRIs,20
pancreatic ductal adenocarcinoma,PDA,20
intestinal epithelial cells,IEC,20
highly active anti retroviral therapy,HAART,20
graft versus leukemia,GVL,20
fatty acids,FA,20
electronic medical record,EMR,20
dentate gyrus,DG,20
circular dichroism,CD,20
autonomic nervous system,ANS,20
arterial spin labeling,ASL,20
amino acid,AA,20
alcohol dependence,AD,20
action potential,AP,20
Framingham Heart Study,FHS,20
DNA binding domain,DBD,20
Abdominal aortic aneurysm,AAA,20
A kinase anchoring proteins,AKAPs,20
typically developing,TD,19
ryanodine receptor,RyR2,19
receiver operating characteristic,ROC,19
protein tyrosine kinase,PTK,19
protein kinase D,PKD,19
pregnane X receptor,PXR,19
peroxisome proliferator activated receptors,PPARs,19
pancreatic cancer,PC,19
open reading frames,ORFs,19
nursing home,NH,19
nicotine replacement therapy,NRT,19
medium spiny neurons,MSNs,19
hypoxia inducible factors,HIFs,19
hydrogen sulfide,H2S,19
human papilloma virus,HPV,19
hemolytic uremic syndrome,HUS,19
glomerular filtration rate,GFR,19
finite element,FE,19
fatty acid oxidation,FAO,19
community based participatory research,CBPR,19
cholera toxin,CT,19
adherens junctions,AJs,19
acute promyelocytic leukemia,APL,19
World Health Organization,WHO,19
T cell receptors,TCRs,19
National Cancer Institute,NCI,19
Epithelial ovarian cancer,EOC,19
whole genome sequencing,WGS,18
sympathetic nerve activity,SNA,18
protein disulfide isomerase,PDI,18
pre exposure prophylaxis,PrEP,18
peripheral blood mononuclear cells,PBMCs,18
migration inhibitory factor,MIF,18
middle cerebral artery occlusion,MCAO,18
left ventricular hypertrophy,LVH,18
intensive care unit,ICU,18
integrin linked kinase,ILK,18
heat shock protein,HSP,18
guanylate cyclase,sGC,18
glucose stimulated insulin secretion,GSIS,18
fibroblast growth factors,FGFs,18
fetal alcohol spectrum disorder,FASD,18
farnesoid X receptor,FXR,18
estrogen receptors,ERs,18
embryonic stem cells,ESC,18
diffusion weighted imaging,DWI,18
cell mediated immunity,CMI,18
ventilator induced lung injury,VILI,17
transferrin receptor,TfR,17
tissue factor pathway inhibitor,TFPI,17
thyrotropin releasing hormone,TRH,17
target of rapamycin,TOR,17
spontaneously hypertensive rats,SHR,17
smooth muscle,SM,17
sexually transmitted diseases,STDs,17
ryanodine receptors,RyRs,17
respiratory distress syndrome,RDS,17
pulmonary artery,PA,17
protective antigen,PA,17
primordial germ cells,PGCs,17
pluripotent stem cell,iPSC,17
nuclear envelope,NE,17
nitric oxide synthases,NOS,17
mineralocorticoid receptor,MR,17
methicillin resistant S. aureus,MRSA,17
metabolic syndrome,MetS,17
melanin concentrating hormone,MCH,17
mechanical ventilation,MV,17
keratinocyte growth factor,KGF,17
kappa opioid receptor,KOR,17
ischemia reperfusion,IR,17
epoxide hydrolase,sEH,17
electron transport chain,ETC,17
conduct disorder,CD,17
conditioned stimulus,CS,17
comparative genomic hybridization,CGH,17
chronic hypoxia,CH,17
basement membrane,BM,17
adult respiratory distress syndrome,ARDS,17
abdominal aortic aneurysms,AAA,17
Womens Health Initiative,WHI,17
Urinary tract infection,UTI,17
The Cancer Genome Atlas,TCGA,17
Specific Aims,SAs,17
RNA induced silencing complex,RISC,17
RNA binding proteins,RBPs,17
Ah receptor,AhR,17
xeroderma pigmentosum,XP,16
von Hippel Lindau,VHL,16
ureteric bud,UB,16
systemic sclerosis,SSc,16
rapid eye movement,REM,16
quantitative computed tomography,QCT,16
proximal tubule,PT,16
protein protein interactions,PPIs,16
protease activated receptors,PARs,16
pluripotent stem cells,hiPSCs,16
pluripotent stem cells,hiPSC,16
pentose phosphate pathway,PPP,16
outer segment,OS,16
neural tube defects,NTDs,16
natural killer T,NKT,16
myeloid derived suppressor cells,MDSC,16
mouse embryonic fibroblasts,MEFs,16
mother to child transmission,MTCT,16
mitral regurgitation,MR,16
mitochondrial permeability transition,MPT,16
mental retardation,MR,16
low density lipoprotein receptor,LDLR,16
lethal factor,LF,16
laser capture microdissection,LCM,16
isothermal titration calorimetry,ITC,16
internal ribosomal entry site,IRES,16
heat shock proteins,HSPs,16
follicular lymphoma,FL,16
endothelial progenitor cells,EPC,16
double stranded breaks,DSBs,16
cortical collecting duct,CCD,16
copy number variants,CNVs,16
cochlear implant,CI,16
cerebral blood flow,rCBF,16
bacterial vaginosis,BV,16
apolipoprotein E,ApoE,16
antioxidant response element,ARE,16
alveolar macrophages,AMs,16
alveolar epithelial cells,AEC,16
aldose reductase,AR,16
alcohol use disorder,AUD,16
action potential duration,APD,16
O GlcNAc transferase,OGT,16
N methyl D aspartate receptor,NMDAR,16
Group A Streptococcus,GAS,16
Dietary restriction,DR,16
ventricular tachycardia,VT,15
tumor suppressor genes,TSGs,15
tumor associated macrophages,TAMs,15
trigeminal ganglia,TG,15
time of flight,TOF,15
retinal pigmented epithelium,RPE,15
replication protein A,RPA,15
recombinant inbred,RI,15
randomized controlled trials,RCTs,15
randomized clinical trials,RCTs,15
pyruvate dehydrogenase complex,PDC,15
prostate cancer,PC,15
peripheral artery disease,PAD,15
percutaneous coronary intervention,PCI,15
patient derived xenograft,PDX,15
nuclear receptors,NRs,15
multiple organ dysfunction syndrome,MODS,15
mouse mammary tumor virus,MMTV,15
mesangial cells,MC,15
magnetic resonance spectroscopic imaging,MRSI,15
lateral hypothalamus,LH,15
internal ribosome entry site,IRES,15
hypoxic pulmonary vasoconstriction,HPV,15
gut associated lymphoid tissue,GALT,15
glutathione S transferases,GSTs,15
glutathione S transferase,GST,15
genetically engineered mouse,GEM,15
generalized anxiety disorder,GAD,15
fibroblast growth factors,FGF,15
dynamic nuclear polarization,DNP,15
dorsal raphe nucleus,DRN,15
dendritic cells,pDC,15
computational fluid dynamics,CFD,15
circulating tumor cells,CTCs,15
chronic heart failure,CHF,15
cardiac progenitor cells,CPCs,15
c oxidase,CcO,15
bronchiolitis obliterans syndrome,BOS,15
basal cell carcinoma,BCC,15
and other drug,AOD,15
Womens Interagency HIV Study,WIHS,15
West Nile virus,WNV,15
Thyroid hormone,TH,15
Nuclear pore complexes,NPCs,15
Monte Carlo,MC,15
Mindfulness Based Stress Reduction,MBSR,15
Essential tremor,ET,15
Ca2+ induced Ca2+ release,CICR,15
Barretts esophagus,BE,15
urinary tract infection,UTI,14
tyrosine kinase inhibitor,TKI,14
tumor necrosis factor receptor,TNFR,14
troponin T,TnT,14
thrombotic thrombocytopenic purpura,TTP,14
store operated Ca2+ entry,SOCE,14
spontaneously hypertensive rat,SHR,14
short chain fatty acids,SCFAs,14
sexually transmitted disease,STD,14
retinal ganglion cells,RGC,14
prostate specific membrane antigen,PSMA,14
prion protein,PrP,14
primary biliary cirrhosis,PBC,14
plasminogen activator receptor,uPAR,14
outer hair cells,OHCs,14
nuclear localization signal,NLS,14
neonatal intensive care unit,NICU,14
murine leukemia virus,MLV,14
multi drug resistant,MDR,14
marginal zone,MZ,14
loss of function,LOF,14
long terminal repeat,LTR,14
long term memory,LTM,14
leukemia stem cells,LSCs,14
leukemia inhibitory factor,LIF,14
ischemic heart disease,IHD,14
hepatic stellate cells,HSCs,14
gestational diabetes mellitus,GDM,14
geographic information systems,GIS,14
geographic information system,GIS,14
fluorescence activated cell sorting,FACS,14
fetal alcohol spectrum disorders,FASD,14
direct current stimulation,tDCS,14
cytolytic T lymphocyte,CTL,14
cognitive behavioral treatment,CBT,14
cigarette smoke,CS,14
chronic intermittent hypoxia,CIH,14
cholesteryl ester,CE,14
cerebral blood volume,CBV,14
autosomal dominant retinitis pigmentosa,ADRP,14
ataxia telangiectasia mutated,ATM,14
alveolar macrophages,AM,14
adherens junction,AJ,14
acute coronary syndromes,ACS,14
Sleeping Beauty,SB,14
Schlemms canal,SC,14
Research Domain Criteria,RDoC,14
Pseudomonas aeruginosa,PA,14
Primary pulmonary hypertension,PPH,14
Angelman syndrome,AS,14
very low birth weight,VLBW,13
ventral pallidum,VP,13
total internal reflection fluorescence,TIRF,13
thymidine kinase,TK,13
stem cell,SC,13
squamous cell carcinomas,SCC,13
small cell lung cancer,SCLC,13
selective serotonin reuptake inhibitor,SSRI,13
retinol binding protein,RBP,13
retinoid X receptors,RXRs,13
retinoic acid receptors,RARs,13
regulatory light chain,RLC,13
receptive field,RF,13
pathogen associated molecular pattern,PAMP,13
outer membrane proteins,OMPs,13
olfactory epithelium,OE,13
nucleus accumbens,NAcc,13
membrane attack complex,MAC,13
intermittent hypoxia,IH,13
intensity modulated radiation therapy,IMRT,13
immunological synapse,IS,13
helix loop helix,HLH,13
graft vs. host disease,GVHD,13
free fatty acids,FFAs,13
focal adhesions,FAs,13
fatty acid amide hydrolase,FAAH,13
endothelial protein C receptor,EPCR,13
electron transfer,ET,13
cystic fibrosis transmembrane regulator,CFTR,13
coronary artery bypass grafting,CABG,13
collecting duct,CD,13
cochlear implants,CIs,13
cerebral amyloid angiopathy,CAA,13
basal ganglia,BG,13
basal forebrain,BF,13
apparent diffusion coefficient,ADC,13
antibody dependent cellular cytotoxicity,ADCC,13
all trans retinoic acid,ATRA,13
Urinary tract infections,UTIs,13
Src family kinases,SFKs,13
Leber congenital amaurosis,LCA,13
Interactive Voice Response,IVR,13
GTPase Activating Protein,GAP,13
Forster resonance energy transfer,FRET,13
Affordable Care Act,ACA,13
Acquired Immune Deficiency Syndrome,AIDS,13
vestibulo ocular reflex,VOR,12
tumor associated antigens,TAA,12
squamous cell carcinomas,SCCs,12
spindle assembly checkpoint,SAC,12
slow wave sleep,SWS,12
serum amyloid A,SAA,12
reactive oxygen intermediates,ROI,12
protein tyrosine phosphatases,PTPases,12
protease inhibitors,PIs,12
progressive supranuclear palsy,PSP,12
pluripotent stem cells,hPSCs,12
p21 activated kinase,PAK,12
oxygen induced retinopathy,OIR,12
oxygen glucose deprivation,OGD,12
overall survival,OS,12
nonsense mediated decay,NMD,12
non human primate,NHP,12
neural crest,NC,12
natural killer T,iNKT,12
myosin heavy chain,MyHC,12
myelin oligodendrocyte glycoprotein,MOG,12
multiple organ failure,MOF,12
mixed lineage leukemia,MLL,12
metabolic syndrome,MS,12
maximum tolerated dose,MTD,12
lymph nodes,LNs,12
long term care,LTC,12
interstitial lung disease,ILD,12
interferon stimulated genes,ISGs,12
injection drug users,IDU,12
in vitro fertilization,IVF,12
impaired glucose tolerance,IGT,12
high throughput screen,HTS,12
high fat,HF,12
high endothelial venules,HEV,12
hereditary hemorrhagic telangiectasia,HHT,12
growth factors,GFs,12
gap junction,GJ,12
fractional anisotropy,FA,12
follicular dendritic cells,FDC,12
expressed sequence tags,ESTs,12
epithelial Na+ channel,ENaC,12
electron spin resonance,ESR,12
clathrin mediated endocytosis,CME,12
apoptosis inducing factor,AIF,12
adeno associated viral,AAV,12
activation induced cell death,AICD,12
New York City,NYC,12
Multicenter AIDS Cohort Study,MACS,12
Listeria monocytogenes,LM,12
European Americans,EA,12
Congenital heart disease,CHD,12
white matter hyperintensities,WMH,11
virtual reality,VR,11
variant surface glycoprotein,VSG,11
total internal reflection fluorescence microscopy,TIRFM,11
tight junctions,TJs,11
thyroid stimulating hormone,TSH,11
synaptonemal complex,SC,11
synaptic vesicles,SVs,11
structural equation modeling,SEM,11
spindle pole body,SPB,11
single strand annealing,SSA,11
single nucleotide polymorphisms,SNP,11
sexually transmitted infections,STI,11
severe acute respiratory syndrome,SARS,11
serious mental illness,SMI,11
self administration,SA,11
selective estrogen receptor modulators,SERMs,11
rod outer segments,ROS,11
quantitative trait loci,eQTL,11
proton coupled electron transfer,PCET,11
protein tyrosine phosphatase,PTPase,11
protease inhibitor,PI,11
positive allosteric modulators,PAMs,11
outer hair cell,OHC,11
odorant receptors,ORs,11
minimal residual disease,MRD,11
medial ganglionic eminence,MGE,11
magic angle spinning,MAS,11
lymphoblastoid cell lines,LCLs,11
luteinizing hormone releasing hormone,LHRH,11
low back pain,LBP,11
long term facilitation,LTF,11
local field potentials,LFPs,11
linoleic acid,LA,11
item response theory,IRT,11
intima media thickness,IMT,11
intestinal stem cells,ISCs,11
intestinal stem cell,ISC,11
intestinal epithelial cells,IECs,11
intermediate filament,IF,11
insulin receptor substrate,IRS,11
injection drug use,IDU,11
injecting drug users,IDUs,11
influenza A virus,IAV,11
independent component analysis,ICA,11
human mammary epithelial cells,HMECs,11
high risk,HR,11
hereditary non polyposis colorectal cancer,HNPCC,11
healthy controls,HC,11
graft versus tumor,GVT,11
germline stem cells,GSCs,11
gain of function,GOF,11
field of view,FOV,11
familial Alzheimers disease,FAD,11
evidence based practices,EBPs,11
environmental tobacco smoke,ETS,11
entorhinal cortex,EC,11
enhanced green fluorescent protein,EGFP,11
edema factor,EF,11
dendritic cells,pDCs,11
cyclosporin A,CsA,11
conditioned taste aversion,CTA,11
chimeric antigen receptor,CAR,11
cardiac stem cells,CSCs,11
cardiac arrest,CA,11
ataxia telangiectasia,AT,11
adrenergic receptors,ARs,11
adipose tissue,AT,11
Rous sarcoma virus,RSV,11
